ID,Tweet Content,Mentions Sports Betting
1,"""𝐈𝐭. 𝐂𝐚𝐧𝐧𝐨𝐭. 𝐆𝐞𝐭. 𝐁𝐢𝐠𝐠𝐞𝐫. 𝐓𝐡𝐚𝐧. 𝐓𝐡𝐢𝐬. 🔥

Get into the #FIFAWorldCup Final mode with none other than @iamsrk &amp; @WayneRooney on Dec 18, LIVE on #JioCinema &amp; #Sports18 📺📲

#Qatar2022 #ARGFRA #WorldsGreatestShow #FIFAWConJioCinema #FIFAWConSports18 #Pathaan""",no
2,"""It’ll be a tough night for Europe today.

#FranceVsMorocco @ #FIFAWorldCup.

Islamîsts will either celebrate the win of Islàm or avenge the defeat of Islàm.""",no
3,"""In defeat or in victory, always say Alhamdulillah and keep thanking Allah. And surely, Allah is the best of planners 🇲🇦♥️ #FIFAWorldCup https://t.co/CLSicv9g0h""",no
4,"""FAFC Genesis Edition ( This collection have maximum supply of 107 NFTs) : https://t.co/bjvgIJMyRm

Full collection of 7,910 NFTs will be launched on 16’Dec’2022! ⚽️🥅

Join Discord : https://t.co/0OgjPZWayc

#FIFA #GOAT𓃵 #FIFA22 #FIFA22 #LeoMessi #Messi #FIFAWorldCup https://t.co/mbkNgYDe1X""",no
5,"""Get ready for zabardast action on #25th Jan ..#PathaanFirstDayFirstShow 
#PathaanTeaser #pathaan""",no
6,"""Morocco won against Spain, there were riots in Spain

Morocco won against Portugal, there were riots in Portugal

Morocco lost to France, there were riots in France

Morocco wins or loses, there be riots. And the reasons are all religious.""",no
7,"""Morocco 🇲🇦 can be PROUD of their World Cup #FIFAWorldCupQatar2022 👏👏👏

The ATLAS LIONS 🇲🇦 took down Belgium, Spain and Portugal on their way to becoming the FIRST AFRICAN NATION to ever make the #FIFAWorldCup semifinal. ❤️👏

An incredible show of resilience and hard work. 👊 https://t.co/ARE2AKF6XZ""",no
8,"""Name the religion behind this rioting in France 🇫🇷 post their victory in #FIFAWorldCup against #Morocco https://t.co/vZ2XdE6Emo""",no
9,"""“This crazy fanbase leaves everything for the Cup!” 🎶 #ARG

#Qatar2022 | #FIFAWorldCup https://t.co/3yWdNFM6Lp""",no
10,"""This Moroccan side will be remembered for making World Cup history. 

What a manager, what a team 👏 The final was just a step too far.

#BBCWorldCup #FifaWorldCup https://t.co/AVIaGfJKV7""",no
11,"""𝐈𝐭. 𝐂𝐚𝐧𝐧𝐨𝐭. 𝐆𝐞𝐭. 𝐁𝐢𝐠𝐠𝐞𝐫. 𝐓𝐡𝐚𝐧. 𝐓𝐡𝐢𝐬. 🔥

Get into the #FIFAWorldCup Final mode with none other than @iamsrk &amp; @WayneRooney on Dec 18, LIVE on #JioCinema &amp; #Sports18 📺📲

#Qatar2022 #ARGFRA #WorldsGreatestShow #FIFAWConJioCinema #FIFAWConSports18 #Pathaan""",no
12,"""One of the dumbest tweets about the World Cup yet, and of course from a Brit named “Robert Carter” 

😂""",no
13,"""giveaway 30$ | 450,000 IDR 🌹

— rt &amp; rt like quoted tweet!

ends in 24 hours goodluck dears🍒""",no
14,"""I would like to say that, Modi ji doing so great as always..
This initiative is going to be so appreciated..#BharatJodoYatra
#India #Buddhism #Buddha  #TestCricket #Qatar2022    #ShahRukhKhan
#Ashwin #BANvsIND #Pathaan #FIFAWorldCup   

https://t.co/WEdUcU4p1r""",no
15,"""As Piers Morgan said Qatar World Cup is the best world cup in the history of football.

Finally the west admitted!😅
#FIFAWorldCup""",no
16,"""After four and more, some heavy social media and other possibilities have led to inflation and public accountability — as these #QUACK #RIPTwitch #LoveinTheAirspecialep #JusticeForMandyRose #SaveWarriorNun #FIFAWorldCup #XiaoZhan #lovejihaad""",no
17,"""The Marketing Genius is Back !!
🔥😭😂🌊❤️👑
Ohh mahn you're too good in Hindi @WayneRooney
PATHAAN DEKHEGA HINDUSTAN https://t.co/y98SIkjpsZ""",no
