ID,Tweet Content
1502,"""The lsraeli occupation forces invade a Jerusalemite football club to confiscate Palestinian and Moroccan flags. #FIFAWorldCup https://t.co/wp7hefK9dX"""
2587,"""🇫🇷 @FrenchTeam 🆚 @EnMaroc 🇲🇦

Who's making it to the #FIFAWorldCup final? ✨

#Ligue1UberEats https://t.co/9e3IA0dT3G"""
2654,"""LATEST : King Khan promotes Pathaan at #FifaWorldCup ! Catch him live on 18th December at the FINALS of FIFA World Cup at Match Centre ♥️🔥 #Pathaan #FIFAWorldCup2022 #FIFA22 #fifaworldcupQatar2022 #FIFA #ShahRukhKhan #DeepikaPadukone https://t.co/uF9EHtATCA"""
1056,"""wey mediocrity this
Ah"""
706,"""I guess I will sleep now with heavy heart today 🥲🇲🇦

#FIFAWorldCup"""
107,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
590,"""A demanding opener at the #FIFAWorldCup 🇭🇷🇲🇦

#MARCRO #Qatar2022 #Vatreni https://t.co/0hGnqCoVXT"""
2469,"""Morocco winning until they throw religion card, We have a result Argentina France for final.. back to your Muslim world which usually known for ‘Spreading peace all over the world 💣 🗯
#FIFAWorldCup"""
2414,"""A fantastic and historic journey - one to be proud of Hakim. 💙

#FIFAWorldCup https://t.co/g2vDyxv0zJ"""
1601,"""Despite being one of only eight teams to have played five games at the World Cup, Argentina have conceded the fewest shots and allowed their opponents the lowest xG. 🇦🇷⛔️

🔋 @Wyscout 

#ARG • #FIFAWorldCup https://t.co/uafEyZaXEb"""
2465,"""Nobody markets/promotes a film like King Khan."""
229,"""A place in the #FIFAWorldCup Final awaits Cuti or Ivan this evening!

Good luck, lads 🤝 https://t.co/JtRAZs1kZs"""
916,"""@KMbappe @AchrafHakimi I made this drawing of Kylian Mbappe in 3 weeks
Kindly Retweet my pencil art 🙏🙏
#Mbappe #Messi #Ronaldo #FIFAWorldCup https://t.co/DEd3fj9u6e"""
795,"""“This crazy fanbase leaves everything for the Cup!” 🎶 #ARG

#Qatar2022 | #FIFAWorldCup https://t.co/3yWdNFM6Lp"""
3022,"""His releases are always gonna be smashing blockbuster! Level apart 🔥 🔥"""
3544,"""🇫🇷 Griezmann’s France vs Messi’s Argentina 🇦🇷 

🍻 Winner takes home their third #FIFAWorldCup and brings home the Bud! Roll on Sunday… 🙏

#Budweiser #POTM #YoursToTake #BringHomeTheBud @Budweiser @budfootball https://t.co/qQ4u4cC16W"""
1074,"""giveaway 30$ | 450,000 IDR 🌹

— rt &amp; rt like quoted tweet!

ends in 24 hours goodluck dears🍒"""
3352,"""KING KHAN to promote PATHAAN at #FIFAWorldCup2022 #FIFAWorldCup #FIFAWorldCupQatar2022 #WorldCup final #Qatar2022 ! 🔥
Watch him on 18th Dec at the FIFA World Cup FINALS at Match Centre ♥️🔥
#ARGCRO #Messi #Mbappe #football #ShahRukhKhan #BesharamRang #Pathaan #Arg #FRA #France https://t.co/ZzLPFRtjWk"""
1745,"""Yesterday, #France booked a berth in the #FIFAWorldCup finals for the fourth time in seven editions... 
Check out the team celebrations that continued at the base camp late into the morning today.

#Qatar #FRAMAR https://t.co/qvZ7WpVJ7X"""
